;Ürün_adý;Marka;orjinal_fiyat;Ýndirim_oraný;indirimli_fiyat;sepette_indirim_oraný;sepette_indirimli_fiyat;Puan;Deðerlendirme;Link
38;"Apple iPad Pro 5. Nesil Wi-Fi 128 GB 12.9"" Tablet - Uzay Grisi MHNF3TU/A";Apple;11.999,00 TL;%5;11.399,90 TL;% 0;11.399,90 TL;5,0;4 ;https://www.hepsiburada.com//apple-ipad-pro-5-nesil-wi-fi-128-gb-12-9-tablet-uzay-grisi-mhnf3tu-a-p-HBCV000005L9TC
39;"Alcatel 1T 16GB 7"" WiFi (Kýlýflý )Tablet";Alcatel;599,00 TL;%7;559,84 TL;% 0;559,84 TL;4,4;276 ;https://www.hepsiburada.com//alcatel-1t-16gb-7-wifi-kilifli-tablet-p-HBV00000VAYBL
40;"Vorcom S12 10.1"" 32GB Tablet";Vorcom;1.199,00 TL;%34;788,92 TL;% 0;788,92 TL;4,0;84 ;https://www.hepsiburada.com//vorcom-s12-10-1-32gb-tablet-p-HBV00000XJOJX
41;Huawei MatePad T10 S 64 GB (Huawei Türkiye Garantili);Huawei;2.099,00 TL;%29;1.479,85 TL;% 0;1.479,85 TL;4,6;185 ;https://www.hepsiburada.com//huawei-matepad-t10-s-64-gb-huawei-turkiye-garantili-p-HBV00000X7U6E
42;Samsung Galaxy Tab A7 Lite 32 GB (Samsung Türkiye Garantili);Samsung;1.449,00 TL;%14;1.249,90 TL;% 0;1.249,90 TL;3,0;1 ;https://www.hepsiburada.com//samsung-galaxy-tab-a7-lite-32-gb-samsung-turkiye-garantili-p-HBCV00000BVZUI
43;"Samsung Galaxy Tab 3 Lite T113 8GB 7"" Beyaz Tablet";Samsung;949,00 TL;%35;615,94 TL;% 0;615,94 TL;4,1;236 ;https://www.hepsiburada.com//samsung-galaxy-tab-3-lite-t113-8gb-7-beyaz-tablet-p-BD601324
44;"Apple iPad Air 4. Nesil 10.9"" 64 GB WiFi Cellular Tablet - MYH12TU/A";Apple;7.799,00 TL;%22;6.099,90 TL;% 0;6.099,90 TL;5,0;30 ;https://www.hepsiburada.com//apple-ipad-air-4-nesil-10-9-64-gb-wifi-cellular-tablet-myh12tu-a-p-HBV00000XAESW
45;Vestel V Tab Z1 64GB 10.1’’ IPS Tablet;Vestel;1.198,88 TL;%0;1.198,88 TL;% 0;1.198,88 TL;4,3;62 ;https://www.hepsiburada.com//vestel-v-tab-z1-64gb-10-1-ips-tablet-p-HBV0000129RQ8
46;"Apple iPad Air 4. Nesil 10.9"" 256 GB WiFi Tablet - MYFY2TU/A";Apple;7.999,00 TL;%11;7.099,89 TL;% 0;7.099,89 TL;5,0;58 ;https://www.hepsiburada.com//apple-ipad-air-4-nesil-10-9-256-gb-wifi-tablet-myfy2tu-a-p-HBV00000XAMHR
47;"Huawei MatePad T8 32GB 8"" IPS Tablet Mavi";Huawei;1.179,00 TL;%16;989,90 TL;% 0;989,90 TL;4,5;95 ;https://www.hepsiburada.com//huawei-matepad-t8-32gb-8-ips-tablet-mavi-p-HBV00000UVB76
