;Ürün_adý;Marka;orjinal_fiyat;Ýndirim_oraný;indirimli_fiyat;sepette_indirim_oraný;sepette_indirimli_fiyat;Puan;Deðerlendirme;Link
105;"Casper L20 64GB 10.1"" FHD 4.5G Tablet Gri";Casper;2.699,00 TL;%37;1.699,90 TL;% 0;1.699,90 TL;4,2;143 ;https://www.hepsiburada.com//casper-l20-64gb-10-1-fhd-4-5g-tablet-gri-p-HBV00000OELFZ
106;"Huawei Mediapad T3 32GB 9.6"" IPS Tablet";Huawei;1.299,00 TL;%8;1.191,88 TL;% 0;1.191,88 TL;4,7;79 ;https://www.hepsiburada.com//huawei-mediapad-t3-32gb-9-6-ips-tablet-p-HBV00000R37N1
107;"Hometech Alfa 7MRC 32GB 7"" Tablet Siyah";Hometech;509,95 TL;%0;509,95 TL;% 0;509,95 TL;3,5;8 ;https://www.hepsiburada.com//hometech-alfa-7mrc-32gb-7-tablet-siyah-p-HBV000013C3OY
108;"Lenovo Tab M8 TB-8505F 32GB 8"" IPS Tablet Gri ZA5G0100TR";Lenovo;1.499,00 TL;%25;1.118,89 TL;% 0;1.118,89 TL;4,6;352 ;https://www.hepsiburada.com//lenovo-tab-m8-tb-8505f-32gb-8-ips-tablet-gri-za5g0100tr-p-HBV00000T538N
109;"Samsung Galaxy Tab S5e SM-T720 64GB 10.5""Tablet Siyah";Samsung;3.999,00 TL;%5;3.798,62 TL;% 0;3.798,62 TL;4,8;436 ;https://www.hepsiburada.com//samsung-galaxy-tab-s5e-sm-t720-64gb-10-5-tablet-siyah-p-HBV00000NLE22
110;"Samsung Galaxy Tab Active Pro SM-T547 64 GB 10.1"" Tablet";Samsung;4.358,56 TL;%0;4.358,56 TL;% 0;4.358,56 TL;5,0;1 ;https://www.hepsiburada.com//samsung-galaxy-tab-active-pro-sm-t547-64-gb-10-1-tablet-p-HBV00001AVT0U
111;"Apple iPad Mini 256GB 7.9"" Wi-Fi Retina Tablet - Uzay Grisi MUU32TU/A";Apple;5.399,90 TL;%0;5.399,90 TL;% 0;5.399,90 TL;4,7;9 ;https://www.hepsiburada.com//apple-ipad-mini-256gb-7-9-wi-fi-retina-tablet-uzay-grisi-muu32tu-a-p-HBV00000JVORY
112;"Philips M9 S410J 3GB Ram 32GB Hafýza Android 9.0 10.1"" Tablet";Philips;1.319,87 TL;%0;1.319,87 TL;% 0;1.319,87 TL;4,1;49 ;https://www.hepsiburada.com//philips-m9-s410j-3gb-ram-32gb-hafiza-android-9-0-10-1-tablet-p-HBV0000118RIP
113;CASPER VIA.L30 4GB 64GB 4G 10’’ FHD TABLET;Casper;2.120,00 TL;%8;1.939,81 TL;% 0;1.939,81 TL;4,5;80 ;https://www.hepsiburada.com//casper-via-l30-4gb-64gb-4g-10-fhd-tablet-p-HBV000011AI9M
114;"Vorcom S7 Pro 4 GB 64 GB 7"" Tablet";Vorcom;879,91 TL;%0;879,91 TL;% 0;879,91 TL;4,2;6 ;https://www.hepsiburada.com//vorcom-s7-pro-4-gb-64-gb-7-tablet-p-HBCV0000037NSS
115;"Vestel V Tab 7810 8GB 7"" IPS Tablet";Vestel;899,00 TL;%22;698,93 TL;% 0;698,93 TL;4,4;34 ;https://www.hepsiburada.com//vestel-v-tab-7810-8gb-7-ips-tablet-p-HBV00000CE4EI
116;"Samsung Galaxy Tab A T287 8GB 7"" Tablet";Samsung;1.799,72 TL;%0;1.799,72 TL;% 0;1.799,72 TL;4,1;21 ;https://www.hepsiburada.com//samsung-galaxy-tab-a-t287-8gb-7-tablet-p-BD602189-S
117;"Samsung Galaxy Tab A6 T280Q 8GB 7"" Tablet";Samsung;1.499,75 TL;%0;1.499,75 TL;% 0;1.499,75 TL;4,3;129 ;https://www.hepsiburada.com//samsung-galaxy-tab-a6-t280q-8gb-7-tablet-p-BD602228-B
118;"Vankyo Matrixpad Z4 2gb 32GB HDD IPS Hd Ekran 10"" Tablet";Vankyo;898,91 TL;%0;898,91 TL;% 0;898,91 TL;None;;https://www.hepsiburada.com//vankyo-matrixpad-z4-2gb-32gb-hdd-ips-hd-ekran-10-tablet-p-HBCV000004B29L
119;"Reeder M7 Plus 8GB 7"" IPS Tablet";Reeder;448,96 TL;%0;448,96 TL;% 0;448,96 TL;4,0;35 ;https://www.hepsiburada.com//reeder-m7-plus-8gb-7-ips-tablet-p-HBV0000081EW6
120;"Vorcom S8 Pro 64GB 8"" Tablet";Vorcom;1.098,89 TL;%0;1.098,89 TL;% 0;1.098,89 TL;4,0;41 ;https://www.hepsiburada.com//vorcom-s8-pro-64gb-8-tablet-p-HBV00001AT7G2
121;"iPad 7. Nesil 10.2"" 32 GB Wifi Tablet MW762TU/A";Apple;3.599,00 TL;%3;3.498,65 TL;% 0;3.498,65 TL;4,8;585 ;https://www.hepsiburada.com//ipad-7-nesil-10-2-32-gb-wifi-tablet-mw762tu-a-p-HBV00000NWESZ
122;"Reeder M7 Plus 8GB 7"" IPS Tablet";Reeder;448,96 TL;%0;448,96 TL;% 0;448,96 TL;4,0;35 ;https://www.hepsiburada.com//reeder-m7-plus-8gb-7-ips-tablet-p-HBV0000081EW6
123;"Vankyo Matrixpad Z4 2gb 32GB HDD IPS Hd Ekran 10"" Tablet";Vankyo;898,91 TL;%0;898,91 TL;% 0;898,91 TL;None;;https://www.hepsiburada.com//vankyo-matrixpad-z4-2gb-32gb-hdd-ips-hd-ekran-10-tablet-p-HBCV000004B29L
124;"Vorcom S8 Classic 32GB 8"" Tablet";Vorcom;788,91 TL;%0;788,91 TL;% 0;788,91 TL;4,5;15 ;https://www.hepsiburada.com//vorcom-s8-classic-32gb-8-tablet-p-HBCV000002KZSV
125;"Apple iPad Pro 4.Nesil Wi-Fi Cellular 512GB 12.9"" Tablet - Gümüþ MXF82TU/A";Apple;14.997,50 TL;%0;14.997,50 TL;% 0;14.997,50 TL;5,0;7 ;https://www.hepsiburada.com//apple-ipad-pro-4-nesil-wi-fi-cellular-512gb-12-9-tablet-gumus-mxf82tu-a-p-HBV00000SS5CV
126;"Jedi Pro 32GB 10"" IPS Tablet Beyaz";Jedi;809,92 TL;%0;809,92 TL;% 0;809,92 TL;4,0;1 ;https://www.hepsiburada.com//jedi-pro-32gb-10-ips-tablet-beyaz-p-HBV00000U1WZW
127;"Lenovo TAB M10 10.1"" 32GB 4G LTE Tablet Siyah ZA490043TR";Lenovo;2.698,73 TL;%0;2.698,73 TL;% 0;2.698,73 TL;4,5;75 ;https://www.hepsiburada.com//lenovo-tab-m10-10-1-32gb-4g-lte-tablet-siyah-za490043tr-p-HBV00000NXPNT
128;"Asus Memo Pad 7 FE7010CG 8 Gb 7"" 3G+Wifi Tablet";Asus;699,00 TL;%14;598,94 TL;% 0;598,94 TL;4,0;3 ;https://www.hepsiburada.com//asus-memo-pad-7-fe7010cg-8-gb-7-3g-wifi-tablet-p-BDASUSFE7010CG
129;"Samsung Galaxy Tab A T287 8GB 7"" Tablet";Samsung;1.799,72 TL;%0;1.799,72 TL;% 0;1.799,72 TL;4,1;21 ;https://www.hepsiburada.com//samsung-galaxy-tab-a-t287-8gb-7-tablet-p-BD602189-S
130;"Samsung Galaxy Tab A6 T280Q 8GB 7"" Tablet";Samsung;1.499,75 TL;%0;1.499,75 TL;% 0;1.499,75 TL;4,3;129 ;https://www.hepsiburada.com//samsung-galaxy-tab-a6-t280q-8gb-7-tablet-p-BD602228-B
131;"Apple iPad Pro 2.Nesil Wi-Fi Cellular 256GB 12.9"" Tablet - Gümüþ MXF62TU/A";Apple;12.997,70 TL;%0;12.997,70 TL;% 0;12.997,70 TL;4,7;6 ;https://www.hepsiburada.com//apple-ipad-pro-2-nesil-wi-fi-cellular-256gb-12-9-tablet-gumus-mxf62tu-a-p-HBV00000SS5D0
132;"Casper S38 Plus 3GB 32GB 8"" IPS Tablet Mavi";Casper;1.499,00 TL;%34;988,90 TL;% 0;988,90 TL;4,1;233 ;https://www.hepsiburada.com//casper-s38-plus-3gb-32gb-8-ips-tablet-mavi-p-HBV00000U6S0W
133;"Lenovo TAB M10 TB-X606X 4G 64GB 10.3"" 4G LTE Tablet - Gri ZA5V0270TR";Lenovo;2.799,00 TL;%11;2.498,75 TL;% 0;2.498,75 TL;4,6;55 ;https://www.hepsiburada.com//lenovo-tab-m10-tb-x606x-4g-64gb-10-3-4g-lte-tablet-gri-za5v0270tr-p-HBV00000XAMGZ
134;"Hometech Alfa 8MY 32GB 8"" 3G Tablet";Hometech;1.096,79 TL;%0;1.096,79 TL;% 0;1.096,79 TL;2,0;2 ;https://www.hepsiburada.com//hometech-alfa-8my-32gb-8-3g-tablet-p-HBV000013C3W6
135;"Everest Everpad SC-735 Happy Kids 7"" 16GB WiFi Kýrmýzý Tablet";Everest;632,84 TL;%0;632,84 TL;% 0;632,84 TL;3,4;190 ;https://www.hepsiburada.com//everest-everpad-sc-735-happy-kids-7-16gb-wifi-kirmizi-tablet-p-HBV00000P0RHH
136;"Apple iPad Pro 4.Nesil Wi-Fi Cellular 128GB 12.9"" Tablet - Gümüþ MY3D2TU/A";Apple;12.388,76 TL;%0;12.388,76 TL;% 0;12.388,76 TL;5,0;16 ;https://www.hepsiburada.com//apple-ipad-pro-4-nesil-wi-fi-cellular-128gb-12-9-tablet-gumus-my3d2tu-a-p-HBV00000SS5DC
137;"Apple iPad Pro 4.Nesil Wi-Fi 512GB 12.9"" Tablet - Gümüþ MXAW2TU/A";Apple;12.349,00 TL;%3;11.997,80 TL;% 0;11.997,80 TL;4,8;6 ;https://www.hepsiburada.com//apple-ipad-pro-4-nesil-wi-fi-512gb-12-9-tablet-gumus-mxaw2tu-a-p-HBV00000SS5DI
138;"Lenovo TAB M10 32GB 10.1"" 4G LTE Tablet Siyah ZA500072TR";Lenovo;1.998,80 TL;%0;1.998,80 TL;% 0;1.998,80 TL;5,0;1 ;https://www.hepsiburada.com//lenovo-tab-m10-32gb-10-1-4g-lte-tablet-siyah-za500072tr-p-HBV000018Z4AQ
139;"Lenovo Tab3 TB3-850F 16GB 8"" IPS Tablet MT8161P";Lenovo;1.038,90 TL;%0;1.038,90 TL;% 0;1.038,90 TL;5,0;1 ;https://www.hepsiburada.com//lenovo-tab3-tb3-850f-16gb-8-ips-tablet-mt8161p-p-HBV000011BCTR
140;"Apple iPad 6.Nesil 32GB 9.7"" Wi-Fi + Cellular 4G IPS Tablet - Altýn MRM02TU/A";Apple;3.898,61 TL;%0;3.898,61 TL;% 0;3.898,61 TL;4,7;14 ;https://www.hepsiburada.com//apple-ipad-6-nesil-32gb-9-7-wi-fi-cellular-4g-ips-tablet-altin-mrm02tu-a-p-HBV00000BR0XR
141;"Everest EverPad DC-7015 16GB 7"" Tablet Beyaz";Everest;649,00 TL;%15;552,68 TL;% 15;469,04 TL;3,7;62 ;https://www.hepsiburada.com//everest-everpad-dc-7015-16gb-7-tablet-beyaz-p-HBV00000SF2YD
142;"Teclast MediaPad P80X 32GB + 3GB 8"" IPS Ekran Siyah Tablet (Yurt Dýþýndan)";Teclast;2.142,00 TL;%0;2.142,00 TL;% 0;2.142,00 TL;None;;https://www.hepsiburada.com//teclast-mediapad-p80x-32gb-3gb-8-ips-ekran-siyah-tablet-yurt-disindan-p-HBV00000XFJOM
143;"iPad 7. Nesil 32 GB 10.2"" Wifi + Cellular Tablet  MW6A2TU/A";Apple;4.299,00 TL;%12;3.798,62 TL;% 0;3.798,62 TL;4,9;30 ;https://www.hepsiburada.com//ipad-7-nesil-32-gb-10-2-wifi-cellular-tablet-mw6a2tu-a-p-HBV00000NWESL
144;"Concord C-708 7"" 16GB 3G IPS Tablet Gri";Concord;594,94 TL;%0;594,94 TL;% 0;594,94 TL;3,5;15 ;https://www.hepsiburada.com//concord-c-708-7-16gb-3g-ips-tablet-gri-p-HBV00000SW95U
145;"Everest EverPad DC-7015 16GB 7"" Tablet Beyaz";Everest;649,00 TL;%15;552,68 TL;% 15;469,04 TL;3,7;62 ;https://www.hepsiburada.com//everest-everpad-dc-7015-16gb-7-tablet-beyaz-p-HBV00000SF2YD
146;Elephone Winnovo T1 7” 2GB Ram 32GB Tablet Mavi;Elephone;648,94 TL;%0;648,94 TL;% 0;648,94 TL;None;;https://www.hepsiburada.com//elephone-winnovo-t1-7-2gb-ram-32gb-tablet-mavi-p-HBV000017C2VX
147;"Reeder M7S 7"" 8GB Tablet Wifi + 3G SimKart";Reeder;699,00 TL;%1;689,83 TL;% 0;689,83 TL;4,0;305 ;https://www.hepsiburada.com//reeder-m7s-7-8gb-tablet-wifi-3g-simkart-p-HBV00000J2MEL
148;"Lenovo Tab M8 TB-8505F 32GB 8"" IPS Tablet ZA620016TR";Lenovo;1.499,00 TL;%30;1.049,90 TL;% 0;1.049,90 TL;4,9;12 ;https://www.hepsiburada.com//lenovo-tab-m8-tb-8505f-32gb-8-ips-tablet-za620016tr-p-HBV00000YQV8E
149;"Concord C-779 Range S 7"" 16GB IPS Tablet";Concord;588,94 TL;%0;588,94 TL;% 0;588,94 TL;3,0;5 ;https://www.hepsiburada.com//concord-c-779-range-s-7-16gb-ips-tablet-p-HBV00000UM84P
150;"Technopc Ultrapad UP10.SI21LA 10"" 2GB 16GB 4G Android 10.0 Tablet";Spreadtrum;1.273,17 TL;%0;1.273,17 TL;% 0;1.273,17 TL;5,0;1 ;https://www.hepsiburada.com//technopc-ultrapad-up10-si21la-10-2gb-16gb-4g-android-10-0-tablet-p-HBV000011Q5EP
151;"Apple iPad Pro 5. Nesil Wi-Fi 1 TB 12.9"" Tablet - Gümüþ MHNN3TU/A";Apple;19.699,00 TL;%3;19.199,90 TL;% 0;19.199,90 TL;None;;https://www.hepsiburada.com//apple-ipad-pro-5-nesil-wi-fi-1-tb-12-9-tablet-gumus-mhnn3tu-a-p-HBCV000005L9TM
152;Samsung Galaxy Tab S7 FE LTE 64 GB (Samsung Türkiye Garantili);Samsung;5.198,48 TL;%0;5.198,48 TL;% 0;5.198,48 TL;None;;https://www.hepsiburada.com//samsung-galaxy-tab-s7-fe-lte-64-gb-samsung-turkiye-garantili-p-HBCV00000BVZUV
153;Lenovo TB-X104F TAB 2G+16GBL-TR ZA470013TR;Lenovo;1.098,89 TL;%0;1.098,89 TL;% 0;1.098,89 TL;4,6;60 ;https://www.hepsiburada.com//lenovo-tb-x104f-tab-2g-16gbl-tr-za470013tr-p-HBV0000132MWP
154;"Everest 154M 7"" Çocuk Akýllý Saat + Tablet Çift Kamera Pembe 1GB DDR3 1.3GHz x4 8GB Android 6.0 Çocuk Tablet Pc";Everest;699,92 TL;%0;699,92 TL;% 0;699,92 TL;3,9;60 ;https://www.hepsiburada.com//everest-154m-7-cocuk-akilli-saat-tablet-cift-kamera-pembe-1gb-ddr3-1-3ghz-x4-8gb-android-6-0-cocuk-tablet-pc-p-HBV00000BJHF7
155;"Stormax SMX-T701W 16GB 7"" Tablet";Stormax;2.728,56 TL;%0;2.728,56 TL;% 0;2.728,56 TL;None;;https://www.hepsiburada.com//stormax-smx-t701w-16gb-7-tablet-p-BD600060
156;"Vestel V Tab 7"" Lite III Tablet";Vestel;498,95 TL;%0;498,95 TL;% 0;498,95 TL;3,8;13 ;https://www.hepsiburada.com//vestel-v-tab-7-lite-iii-tablet-p-BDVESVTAB7LITE3
157;"Lenovo Tab3 A7-10F 8GB 7"" IPS Tablet - Siyah ZA0R0001TR";Lenovo;999,00 TL;%35;648,94 TL;% 0;648,94 TL;4,3;155 ;https://www.hepsiburada.com//lenovo-tab3-a7-10f-8gb-7-ips-tablet-siyah-za0r0001tr-p-HBV000001HB5U
158;"Casper Via T27 Intel Atom Z3735G 16GB 7"" IPS Tablet";Casper;1.198,88 TL;%0;1.198,88 TL;% 0;1.198,88 TL;3,6;27 ;https://www.hepsiburada.com//casper-via-t27-intel-atom-z3735g-16gb-7-ips-tablet-p-BD601345
159;Vankyo Matrixpad S8 Tablet 32GB 8'' IPS Tablet;Vankyo;728,93 TL;%0;728,93 TL;% 0;728,93 TL;None;;https://www.hepsiburada.com//vankyo-matrixpad-s8-tablet-32gb-8-ips-tablet-p-HBCV000005UCA7
160;"Samsung Galaxy Tab 3 Lite T116 8GB 7"" 3G Siyah Tablet";Samsung;1.299,00 TL;%6;1.217,88 TL;% 0;1.217,88 TL;4,2;8 ;https://www.hepsiburada.com//samsung-galaxy-tab-3-lite-t116-8gb-7-3g-siyah-tablet-p-BD601382-S
161;"Samsung Galaxy Tab 3 Lite T113 8GB 7"" Siyah Tablet";Samsung;1.098,89 TL;%0;1.098,89 TL;% 0;1.098,89 TL;4,3;147 ;https://www.hepsiburada.com//samsung-galaxy-tab-3-lite-t113-8gb-7-siyah-tablet-p-BD601351
162;"Apple iPad Pro 32GB 9.7"" WiFi Uzay Grisi Retina Ekranlý Tablet MLMN2TU/A";Apple;4.599,00 TL;%13;3.998,60 TL;% 0;3.998,60 TL;5,0;2 ;https://www.hepsiburada.com//apple-ipad-pro-32gb-9-7-wifi-uzay-grisi-retina-ekranli-tablet-mlmn2tu-a-p-BD602169-UG
163;"Teclast MediaPad T30 64GB + 4GB 10.1"" IPS Ekran Siyah Tablet (Yurt Dýþýndan)";Teclast;4.990,83 TL;%0;4.990,83 TL;% 0;4.990,83 TL;None;;https://www.hepsiburada.com//teclast-mediapad-t30-64gb-4gb-10-1-ips-ekran-siyah-tablet-yurt-disindan-p-HBV00000XFJOO
164;"Alldocube Mediapad M5XS 32GB + 3GB 10.1"" Tablet Siyah (Yurt Dýþýndan)";Alldocube;3.691,10 TL;%0;3.691,10 TL;% 0;3.691,10 TL;None;;https://www.hepsiburada.com//alldocube-mediapad-m5xs-32gb-3gb-10-1-tablet-siyah-yurt-disindan-p-HBV00000X7YFE
165;"Lenovo Tab E7 TB-7104F 8GB 7"" Wi-Fi Tablet - Siyah ZA400019TR";Lenovo;899,81 TL;%0;899,81 TL;% 0;899,81 TL;4,0;99 ;https://www.hepsiburada.com//lenovo-tab-e7-tb-7104f-8gb-7-wi-fi-tablet-siyah-za400019tr-p-HBV00000M1BC3
166;"Lenovo Tab E10 TB-X104F 32GB 10.1"" IPS Tablet Siyah ZA470059TR";Lenovo;1.898,81 TL;%0;1.898,81 TL;% 0;1.898,81 TL;4,4;360 ;https://www.hepsiburada.com//lenovo-tab-e10-tb-x104f-32gb-10-1-ips-tablet-siyah-za470059tr-p-HBV00000JRNBT
167;"Hometech Alfa 10LM 32GB 10.1"" IPS Tablet";Hometech;931,81 TL;%0;931,81 TL;% 0;931,81 TL;4,6;12 ;https://www.hepsiburada.com//hometech-alfa-10lm-32gb-10-1-ips-tablet-p-HBV0000179WCQ
168;"Teclast MediaPad T30 64GB + 4GB 10.1"" IPS Ekran Siyah Tablet (Yurt Dýþýndan)";Teclast;4.990,83 TL;%0;4.990,83 TL;% 0;4.990,83 TL;None;;https://www.hepsiburada.com//teclast-mediapad-t30-64gb-4gb-10-1-ips-ekran-siyah-tablet-yurt-disindan-p-HBV00000XFJOO
169;"Alldocube Mediapad M5XS 32GB + 3GB 10.1"" Tablet Siyah (Yurt Dýþýndan)";Alldocube;3.691,10 TL;%0;3.691,10 TL;% 0;3.691,10 TL;None;;https://www.hepsiburada.com//alldocube-mediapad-m5xs-32gb-3gb-10-1-tablet-siyah-yurt-disindan-p-HBV00000X7YFE
170;"Concord C-754 Pie 10.1"" 64GB 4.5G IPS Tablet Altýn";Concord;1.328,87 TL;%0;1.328,87 TL;% 0;1.328,87 TL;4,4;8 ;https://www.hepsiburada.com//concord-c-754-pie-10-1-64gb-4-5g-ips-tablet-altin-p-HBV00000SNWCR
171;"Hometech Alfa 10LM 32GB 10.1"" IPS Tablet";Hometech;931,81 TL;%0;931,81 TL;% 0;931,81 TL;4,6;12 ;https://www.hepsiburada.com//hometech-alfa-10lm-32gb-10-1-ips-tablet-p-HBV0000179WCQ
172;"Samsung SM-T820 32GB 9.7"" UHD Tablet - Siyah";Samsung;3.799,00 TL;%14;3.248,68 TL;% 0;3.248,68 TL;4,5;26 ;https://www.hepsiburada.com//samsung-sm-t820-32gb-9-7-uhd-tablet-siyah-p-HBV000004Z0EA
173;"Apple iPad Pro 2.Nesil Wi-Fi Cellular 1TB 11"" Tablet - Uzay Grisi MXE82TU/A";Apple;13.649,00 TL;%1;13.497,65 TL;% 0;13.497,65 TL;5,0;1 ;https://www.hepsiburada.com//apple-ipad-pro-2-nesil-wi-fi-cellular-1tb-11-tablet-uzay-grisi-mxe82tu-a-p-HBV00000SS5DA
174;"Apple iPad Pro 2.Nesil Wi-Fi 512GB 11"" Tablet - Gümüþ MXDF2TU/A";Apple;10.349,00 TL;%12;9.098,09 TL;% 0;9.098,09 TL;5,0;4 ;https://www.hepsiburada.com//apple-ipad-pro-2-nesil-wi-fi-512gb-11-tablet-gumus-mxdf2tu-a-p-HBV00000SS5DL
175;"Piranha 8032 32GB 8"" Tablet Siyah";Piranha;758,92 TL;%0;758,92 TL;% 0;758,92 TL;4,1;13 ;https://www.hepsiburada.com//piranha-8032-32gb-8-tablet-siyah-p-HBV000013C46M
176;"Lenovo Tab E10 TB-X104F 32GB 10.1"" IPS Tablet Siyah ZA470059TR";Lenovo;1.898,81 TL;%0;1.898,81 TL;% 0;1.898,81 TL;4,4;360 ;https://www.hepsiburada.com//lenovo-tab-e10-tb-x104f-32gb-10-1-ips-tablet-siyah-za470059tr-p-HBV00000JRNBT
177;Vestel V Tab 7020A 8GB 7'' IPS Tablet;Vestel;898,91 TL;%0;898,91 TL;% 0;898,91 TL;2,5;24 ;https://www.hepsiburada.com//vestel-v-tab-7020a-8gb-7-ips-tablet-p-HBV000008KXAJ
178;Sunny SN7016 16GB 7'' IPS Tablet;Sunny;488,95 TL;%0;488,95 TL;% 0;488,95 TL;None;;https://www.hepsiburada.com//sunny-sn7016-16gb-7-ips-tablet-p-HBCV000006AIK9
179;"Wenn Tab 32GB 8"" IPS Tablet";Wenn;718,93 TL;%0;718,93 TL;% 0;718,93 TL;None;;https://www.hepsiburada.com//wenn-tab-32gb-8-ips-tablet-p-HBCV00000625ET
180;"Sunny SN7016 7"" 16GB IPS Tablet";Sunny;549,00 TL;%15;468,95 TL;% 0;468,95 TL;3,1;7 ;https://www.hepsiburada.com//sunny-sn7016-7-16gb-ips-tablet-p-HBV00000VFJ77
181;"Sunny SN-7014 8GB 7"" Tablet";Sunny;598,94 TL;%0;598,94 TL;% 0;598,94 TL;4,5;2 ;https://www.hepsiburada.com//sunny-sn-7014-8gb-7-tablet-p-HBV00000ABT80
182;"Osmart A100 32GB 1,5 Ghz 10.1"" Tablet";Osmart;827,91 TL;%0;827,91 TL;% 0;827,91 TL;None;;https://www.hepsiburada.com//osmart-a100-32gb-1-5-ghz-10-1-tablet-p-HBCV000002GLB2
183;"Lenovo Tab E7 TB-7104F 8GB 7"" Wi-Fi Tablet - Siyah ZA400019TR";Lenovo;899,81 TL;%0;899,81 TL;% 0;899,81 TL;4,0;99 ;https://www.hepsiburada.com//lenovo-tab-e7-tb-7104f-8gb-7-wi-fi-tablet-siyah-za400019tr-p-HBV00000M1BC3
184;"Enthalpy Q8A100 32GB 7"" Tablet (Yurt Dýþýndan)";Enthalpy;917,35 TL;%0;917,35 TL;% 0;917,35 TL;None;;https://www.hepsiburada.com//enthalpy-q8a100-32gb-7-tablet-yurt-disindan-p-HBCV00000DMMHM
185;"Ixtech Ix 1013 32GB 10.1"" Tablet";Ýxtech;1.098,89 TL;%0;1.098,89 TL;% 0;1.098,89 TL;None;;https://www.hepsiburada.com//ixtech-ix-1013-32gb-10-1-tablet-p-HBCV00000BTUGW
186;"Everest EverPad DC-1032 10.1"" 32GB WiFi + Bluetooth 4.1 IPS Tablet Beyaz";Everest;1.298,87 TL;%0;1.298,87 TL;% 0;1.298,87 TL;None;;https://www.hepsiburada.com//everest-everpad-dc-1032-10-1-32gb-wifi-bluetooth-4-1-ips-tablet-beyaz-p-HBV00000XYG00
187;"Concord C-754 Pie 10.1"" 64GB 4.5G IPS Tablet Gri";Concord;1.328,87 TL;%0;1.328,87 TL;% 0;1.328,87 TL;4,3;6 ;https://www.hepsiburada.com//concord-c-754-pie-10-1-64gb-4-5g-ips-tablet-gri-p-HBV00000SNWCP
188;"Jedi Pro S7 7"" 16GB Tablet Beyaz";Jedi;548,95 TL;%0;548,95 TL;% 0;548,95 TL;None;;https://www.hepsiburada.com//jedi-pro-s7-7-16gb-tablet-beyaz-p-HBV000014NZL5
189;"Techstorm Winpad P01 2021 64GB 8"" IPS Tablet";Techstorm;2.048,80 TL;%0;2.048,80 TL;% 0;2.048,80 TL;None;;https://www.hepsiburada.com//techstorm-winpad-p01-2021-64gb-8-ips-tablet-p-HBCV00000DP8TV
190;"Casper Via T27 Intel Atom Z3735G 16GB 7"" IPS Tablet";Casper;1.198,88 TL;%0;1.198,88 TL;% 0;1.198,88 TL;3,6;27 ;https://www.hepsiburada.com//casper-via-t27-intel-atom-z3735g-16gb-7-ips-tablet-p-BD601345
191;"Ixtech IX1012 64GB 10.1"" Tablet";Ýxtech;1.574,84 TL;%0;1.574,84 TL;% 0;1.574,84 TL;None;;https://www.hepsiburada.com//ixtech-ix1012-64gb-10-1-tablet-p-HBCV000001IS7K
192;"Lenovo Tab 7 Essential 8GB 7"" Tablet ZA300114TR";Lenovo;887,91 TL;%0;887,91 TL;% 0;887,91 TL;4,2;91 ;https://www.hepsiburada.com//lenovo-tab-7-essential-8gb-7-tablet-za300114tr-p-HBV00000B00N0
193;"Lenovo Tab E8 16GB 8"" IPS Tablet ZA3W0081TR";Lenovo;1.110,89 TL;%0;1.110,89 TL;% 0;1.110,89 TL;4,3;132 ;https://www.hepsiburada.com//lenovo-tab-e8-16gb-8-ips-tablet-za3w0081tr-p-HBV00000TVRF7
194;"Huawei MediaPad 7 Youth 8GB 7"" WiFi + Cellular Tablet";Huawei;998,90 TL;%0;998,90 TL;% 0;998,90 TL;None;;https://www.hepsiburada.com//huawei-mediapad-7-youth-8gb-7-wifi-cellular-tablet-p-HBV000018QN53
195;"Enthalpy Q8A100 32GB 7"" Tablet (Yurt Dýþýndan)";Enthalpy;917,35 TL;%0;917,35 TL;% 0;917,35 TL;None;;https://www.hepsiburada.com//enthalpy-q8a100-32gb-7-tablet-yurt-disindan-p-HBCV00000DMMHM
196;"Everest EverPad DC-1032 10.1"" 32GB WiFi + Bluetooth 4.1 IPS Tablet Beyaz";Everest;1.298,87 TL;%0;1.298,87 TL;% 0;1.298,87 TL;None;;https://www.hepsiburada.com//everest-everpad-dc-1032-10-1-32gb-wifi-bluetooth-4-1-ips-tablet-beyaz-p-HBV00000XYG00
197;"Ixtech Ix 1013 32GB 10.1"" Tablet";Ýxtech;1.098,89 TL;%0;1.098,89 TL;% 0;1.098,89 TL;None;;https://www.hepsiburada.com//ixtech-ix-1013-32gb-10-1-tablet-p-HBCV00000BTUGW
198;"Concord C-754 Pie 10.1"" 64GB 4.5G IPS Tablet Gri";Concord;1.328,87 TL;%0;1.328,87 TL;% 0;1.328,87 TL;4,3;6 ;https://www.hepsiburada.com//concord-c-754-pie-10-1-64gb-4-5g-ips-tablet-gri-p-HBV00000SNWCP
199;"Jedi Pro S7 7"" 16GB Tablet Beyaz";Jedi;548,95 TL;%0;548,95 TL;% 0;548,95 TL;None;;https://www.hepsiburada.com//jedi-pro-s7-7-16gb-tablet-beyaz-p-HBV000014NZL5
200;"Techstorm Winpad P01 2021 64GB 8"" IPS Tablet";Techstorm;2.048,80 TL;%0;2.048,80 TL;% 0;2.048,80 TL;None;;https://www.hepsiburada.com//techstorm-winpad-p01-2021-64gb-8-ips-tablet-p-HBCV00000DP8TV
